"station_id","lng","lat","district","count"
"C0001",121.3992,31.3393,"宝山区",2069
"C0002",121.3782,31.3233,"宝山区",0
"C0003",121.4052,31.3263,"宝山区",588
"C0004",121.3942,31.3083,"宝山区",594
"C0005",121.4212,31.3053,"宝山区",1009
"C0006",121.4012,31.2993,"宝山区",209
"C0007",121.3842,31.2873,"普陀区",0
"C0008",121.3682,31.3013,"宝山区",1090
"C0009",121.3632,31.2753,"普陀区",1820
"C0010",121.3902,31.2733,"普陀区",2943
"C0011",121.4122,31.2713,"宝山区",0
"C0012",121.4502,31.3153,"静安区",2284
"C0013",121.4262,31.2803,"静安区",2851
"C0014",121.4382,31.2953,"静安区",6411
"C0015",121.4512,31.2903,"静安区",0
"C0016",121.4332,31.3503,"宝山区",0
"C0017",121.4472,31.3413,"宝山区",2516
"C0018",121.4342,31.3243,"宝山区",438
"C0019",121.4452,31.3183,"静安区",4634
"C0020",121.4572,31.3103,"静安区",1664
"C0021",121.4612,31.3683,"宝山区",1603
"C0022",121.5002,31.3563,"宝山区",269
"C0023",121.4712,31.3473,"宝山区",0
"C0024",121.4952,31.3443,"宝山区",0
"C0025",121.4932,31.3253,"杨浦区",0
"C0026",121.4822,31.3113,"杨浦区",4400
"C0027",121.7646,31.2118,"浦东新区",108
"C0028",121.5266,31.3318,"杨浦区",1172
"C0029",121.5316,31.3088,"杨浦区",3498
"C0030",121.5132,31.3033,"杨浦区",4723
"C0031",121.5316,31.2948,"杨浦区",1854
"C0032",121.4692,31.2913,"虹口区",1237
"C0033",121.4672,31.3013,"虹口区",1171
"C0034",121.4632,31.2773,"虹口区",0
"C0035",121.4562,31.2693,"静安区",4730
"C0036",121.4872,31.2993,"杨浦区",4347
"C0037",121.4802,31.2893,"虹口区",2898
"C0038",121.4802,31.2713,"虹口区",4288
"C0039",121.4962,31.2603,"虹口区",2298
"C0040",121.4912,31.2723,"虹口区",2475
"C0041",121.5032,31.2723,"杨浦区",2872
"C0042",121.4972,31.2813,"杨浦区",0
"C0043",121.8346,31.0788,"浦东新区",0
"C0044",121.4552,31.2783,"静安区",0
"C0045",121.5286,31.2748,"杨浦区",4949
"C0046",121.5416,31.2828,"杨浦区",1599
"C0047",121.5486,31.2708,"杨浦区",0
"C0048",121.5316,31.2638,"杨浦区",2025
"C0049",121.5122,31.2673,"杨浦区",0
"C0050",121.5156,31.2578,"杨浦区",1063
"C0051",121.3582,31.2593,"嘉定区",4657
"C0052",121.3722,31.2543,"嘉定区",4052
"C0053",121.3942,31.2653,"普陀区",4326
"C0054",121.4152,31.2573,"普陀区",785
"C0055",121.4272,31.2703,"普陀区",1964
"C0056",121.4332,31.2623,"普陀区",4663
"C0057",121.4402,31.2723,"静安区",2725
"C0058",121.3602,31.2433,"普陀区",501
"C0059",121.3812,31.2413,"普陀区",2140
"C0060",121.3752,31.2333,"普陀区",3785
"C0061",121.3582,31.2163,"长宁区",0
"C0062",121.3822,31.2203,"长宁区",2369
"C0063",121.4052,31.2163,"长宁区",5864
"C0064",121.4192,31.2213,"长宁区",3134
"C0065",121.4032,31.2273,"普陀区",6249
"C0066",121.4082,31.2333,"普陀区",8536
"C0067",121.4192,31.2423,"普陀区",0
"C0068",121.4262,31.2503,"普陀区",6081
"C0069",121.4102,31.2503,"普陀区",6570
"C0070",121.4022,31.2443,"普陀区",2746
"C0071",121.3702,31.2093,"长宁区",1971
"C0072",121.3452,31.195,"长宁区",1957
"C0073",121.3672,31.1963,"长宁区",0
