station_id,lng,lat,district
C0001,121.3992,31.3393,宝山区
C0002,121.3782,31.3233,宝山区
C0003,121.4052,31.3263,宝山区
C0004,121.3942,31.3083,宝山区
C0005,121.4212,31.3053,宝山区
C0006,121.4012,31.2993,宝山区
C0007,121.3842,31.2873,普陀区
C0008,121.3682,31.3013,宝山区
C0009,121.3632,31.2753,普陀区
C0010,121.3902,31.2733,普陀区
C0011,121.4122,31.2713,宝山区
C0012,121.4502,31.3153,静安区
C0013,121.4262,31.2803,静安区
C0014,121.4382,31.2953,静安区
C0015,121.4512,31.2903,静安区
C0016,121.4332,31.3503,宝山区
C0017,121.4472,31.3413,宝山区
C0018,121.4342,31.3243,宝山区
C0019,121.4452,31.3183,静安区
C0020,121.4572,31.3103,静安区
C0021,121.4612,31.3683,宝山区
C0022,121.5002,31.3563,宝山区
C0023,121.4712,31.3473,宝山区
C0024,121.4952,31.3443,宝山区
C0025,121.4932,31.3253,杨浦区
C0026,121.4822,31.3113,杨浦区
C0027,121.7646,31.2118,浦东新区
C0028,121.5266,31.3318,杨浦区
C0029,121.5316,31.3088,杨浦区
C0030,121.5132,31.3033,杨浦区
C0031,121.5316,31.2948,杨浦区
C0032,121.4692,31.2913,虹口区
C0033,121.4672,31.3013,虹口区
C0034,121.4632,31.2773,虹口区
C0035,121.4562,31.2693,静安区
C0036,121.4872,31.2993,杨浦区
C0037,121.4802,31.2893,虹口区
C0038,121.4802,31.2713,虹口区
C0039,121.4962,31.2603,虹口区
C0040,121.4912,31.2723,虹口区
C0041,121.5032,31.2723,杨浦区
C0042,121.4972,31.2813,杨浦区
C0043,121.8346,31.0788,浦东新区
C0044,121.4552,31.2783,静安区
C0045,121.5286,31.2748,杨浦区
C0046,121.5416,31.2828,杨浦区
C0047,121.5486,31.2708,杨浦区
C0048,121.5316,31.2638,杨浦区
C0049,121.5122,31.2673,杨浦区
C0050,121.5156,31.2578,杨浦区
C0051,121.3582,31.2593,嘉定区
C0052,121.3722,31.2543,嘉定区
C0053,121.3942,31.2653,普陀区
C0054,121.4152,31.2573,普陀区
C0055,121.4272,31.2703,普陀区
C0056,121.4332,31.2623,普陀区
C0057,121.4402,31.2723,静安区
C0058,121.3602,31.2433,普陀区
C0059,121.3812,31.2413,普陀区
C0060,121.3752,31.2333,普陀区
C0061,121.3582,31.2163,长宁区
C0062,121.3822,31.2203,长宁区
C0063,121.4052,31.2163,长宁区
C0064,121.4192,31.2213,长宁区
C0065,121.4032,31.2273,普陀区
C0066,121.4082,31.2333,普陀区
C0067,121.4192,31.2423,普陀区
C0068,121.4262,31.2503,普陀区
C0069,121.4102,31.2503,普陀区
C0070,121.4022,31.2443,普陀区
C0071,121.3702,31.2093,长宁区
C0072,121.3452,31.195,长宁区
C0073,121.3672,31.1963,长宁区
C0074,121.3912,31.2003,长宁区
C0075,121.3972,31.2123,长宁区
C0076,121.4112,31.2003,长宁区
C0077,121.4652,31.2673,静安区
C0078,121.4852,31.2583,虹口区
C0079,121.4892,31.2553,虹口区
C0080,121.4992,31.2543,虹口区
C0081,121.4792,31.2523,虹口区
C0082,121.4702,31.2573,静安区
C0083,121.4622,31.2563,静安区
C0084,121.4522,31.2583,静安区
C0085,121.4432,31.2473,普陀区
C0086,121.4502,31.2523,静安区
C0087,121.4352,31.2433,普陀区
C0088,121.4442,31.2443,静安区
C0089,121.4582,31.2463,静安区
C0090,121.4702,31.2453,静安区
C0091,121.4332,31.2343,静安区
C0092,121.4252,31.2273,静安区
C0093,121.4242,31.2153,长宁区
C0094,121.4352,31.2263,静安区
C0095,121.4402,31.2193,静安区
C0096,121.4482,31.2133,徐汇区
C0097,121.4502,31.2213,静安区
C0098,121.4462,31.2303,静安区
C0099,121.4542,31.2343,静安区
C0100,121.4622,31.2233,黄浦区
C0101,121.4662,31.2393,黄浦区
